Date,Open,High,Low,Close,Volume
2016-07-01,200,200.118,199.885,200,710830
2016-07-04,199.9165,199.9272,199.133,199.2628,522287
2016-07-05,199.2667,201.5126,199.1972,201.4838,433547
2016-07-06,201.4678,203.272,201.3426,203.2564,668230
2016-07-07,203.1939,204.3028,203.0179,204.2615,509671
2016-07-08,204.2735,204.4388,201.1115,201.1592,475094
2016-07-11,201.191,201.3216,200.4884,200.5844,972571
2016-07-12,200.748,203.6634,200.7081,203.5879,764485
2016-07-13,203.5875,203.8227,203.5379,203.8146,784251
2016-07-14,203.7652,203.985,202.467,202.5225,505441
2016-07-15,202.5644,204.7728,202.4713,204.5576,497372
2016-07-18,204.5271,204.6024,203.5251,203.6659,842244
2016-07-19,203.6223,204.3474,203.5817,204.2988,512813
2016-07-20,204.447,205.75,204.3378,205.6415,593476
2016-07-21,205.5974,205.6771,204.7359,204.8052,348381
2016-07-22,204.8031,204.8708,204.5151,204.6656,448520
2016-07-25,204.5932,206.542,204.3254,206.4979,495041
2016-07-26,206.5216,207.1081,206.3177,207.007,789465
2016-07-27,206.949,207.0258,205.3532,205.4797,723408
2016-07-28,205.415,208.6795,205.1649,208.5315,530238
2016-07-29,208.5145,208.7451,205.3,205.4087,861877
2016-08-01,205.3434,205.5238,204.6341,204.7088,698940
2016-08-02,204.7078,205.6052,204.6106,205.5732,735380
2016-08-03,205.5854,205.5896,205.0877,205.2252,546259
2016-08-04,205.0469,205.0919,205.0006,205.0277,685947
2016-08-05,205.0786,205.1243,204.7029,204.839,581000
2016-08-08,204.8443,204.9531,204.1644,204.2656,530791
2016-08-09,204.3794,204.5601,201.5181,201.6359,884347
2016-08-10,201.6991,201.7793,197.6252,197.6376,624809
2016-08-11,197.679,197.7027,195.3865,195.4817,518157
2016-08-12,195.3364,195.9084,195.2476,195.7135,579349
2016-08-15,195.6727,195.6841,188.1442,188.1554,754781
2016-08-16,188.1937,188.3123,184.1258,184.25,591869
2016-08-17,184.3516,187.5476,184.307,187.445,559659
2016-08-18,187.4302,187.4613,184.5247,184.5409,515594
2016-08-19,184.4687,184.5662,181.954,181.9971,578053
2016-08-22,181.8879,181.8994,172.0787,172.0887,761563
2016-08-23,172.062,175.802,171.8187,175.7439,678922
2016-08-24,175.8086,178.6749,175.7595,178.6114,846001
2016-08-25,178.5805,178.6704,172.1368,172.1455,859906
2016-08-26,172.1648,172.5183,170.6906,170.7049,676646
2016-08-29,170.6803,171.6515,170.6377,171.5999,956305
2016-08-30,171.6104,177.6879,171.5209,177.6306,635096
2016-08-31,177.7533,177.7557,172.9737,173.0711,630077
2016-09-01,173.061,173.9648,173.035,173.8595,604837
2016-09-02,173.862,173.8674,173.5316,173.6806,639312
2016-09-05,173.6478,173.655,167.7856,167.8927,686566
2016-09-06,167.7783,167.9064,161.7842,161.8166,646897
2016-09-07,161.7633,161.8062,161.3326,161.3952,539836
2016-09-08,161.4529,162.9356,161.3832,162.8212,675152
2016-09-09,162.8411,167.8693,162.8393,167.8669,909218
2016-09-12,167.7405,167.7574,164.7004,164.7263,480667
2016-09-13,164.8443,165.7475,164.7527,165.6851,448287
2016-09-14,165.6675,165.6981,164.5808,164.7004,686219
2016-09-15,164.761,166.8652,164.6424,166.7897,887422
2016-09-16,166.8707,170.8706,166.8584,170.8313,713348
2016-09-19,170.8071,170.878,169.7389,169.9654,756353
2016-09-20,170.0208,170.5391,169.9721,170.5165,521352
2016-09-21,170.5455,170.5571,168.5979,168.7894,558363
2016-09-22,168.8436,168.9355,165.4366,165.501,499813
2016-09-23,165.5571,165.7053,157.3866,157.4638,827080
2016-09-26,157.4506,162.7748,157.3371,162.753,637783
2016-09-27,162.7787,167.1408,162.6352,167.1227,614064
2016-09-28,167.1436,169.6065,166.9527,169.5775,738177
2016-09-29,169.621,169.7663,166.5306,166.5492,811812
2016-09-30,166.5427,166.5623,165.7546,165.8988,486664
2016-10-03,165.9923,166.7027,165.9257,166.6517,567813
2016-10-04,166.6793,166.818,165.8644,166.0194,789097
2016-10-05,165.9811,172.7487,165.8301,172.6079,741752
2016-10-06,172.63,172.7277,167.755,167.8858,788701
2016-10-07,167.8667,169.9802,167.5431,169.9094,551685
2016-10-10,170.1055,170.22,164.9898,165.179,579224
2016-10-11,165.1232,165.1799,164.4347,164.508,633096
2016-10-12,164.4694,171.2267,164.3843,171.2042,749232
2016-10-13,171.2016,171.4037,166.3667,166.5058,770383
2016-10-14,166.5396,167.6079,166.4571,167.5988,609941
2016-10-17,167.6559,167.7945,165.3382,165.3435,548470
2016-10-18,165.3611,168.4213,165.2838,168.3995,767087
2016-10-19,168.4309,171.7975,168.375,171.7765,640251
2016-10-20,171.798,174.7512,171.728,174.7416,637688
2016-10-21,174.7933,175.3144,174.7888,175.2953,607435
2016-10-24,175.3541,177.1115,175.2172,176.9178,690240
2016-10-25,177.0128,178.4939,176.8771,178.3385,597607
2016-10-26,178.2416,178.7455,178.2132,178.7016,551343
2016-10-27,178.6965,182.42,178.595,182.3449,452747
2016-10-28,182.3101,185.9963,182.165,185.8812,514595
2016-10-31,185.8257,188.8473,185.7769,188.7439,516521
2016-11-01,188.5895,195.1712,188.4908,194.9577,689766
2016-11-02,194.8597,202.062,194.7746,202.0579,836642
2016-11-03,202.0783,206.5973,201.9624,206.392,727822
2016-11-04,206.465,208.3718,206.4377,208.295,417117
2016-11-07,208.2418,208.5013,208.1159,208.3145,494792
2016-11-08,208.2581,214.7004,208.0825,214.5559,562874
2016-11-09,214.5802,214.6113,211.6651,211.8665,696107
2016-11-10,211.8009,216.8251,211.6961,216.679,456188
2016-11-11,216.7519,218.6735,216.7025,218.5662,636092
2016-11-14,218.5246,218.6845,216.313,216.6083,667319
2016-11-15,216.5229,217.3705,216.4965,217.2251,647997
2016-11-16,217.2785,218.9329,217.2746,218.803,578326
2016-11-17,218.5878,218.7586,218.0573,218.1159,795186
2016-11-18,218.2707,218.3848,218.1389,218.3765,859171
2016-11-21,218.3251,221.8723,218.3047,221.7925,545614
2016-11-22,221.7058,221.7434,221.1742,221.1979,558540
2016-11-23,221.3867,225.6178,221.3534,225.4987,547580
2016-11-24,225.5891,230.8817,225.5418,230.3865,480915
2016-11-25,230.3771,230.4774,224.4001,224.5264,493011
2016-11-28,224.6072,224.7023,221.5499,221.5603,601837
2016-11-29,221.6896,226.1285,221.5468,226.0215,877538
2016-11-30,226.1156,226.2367,219.4859,219.5471,598087
2016-12-01,219.4674,220.6287,219.458,220.5453,975538
2016-12-02,220.6916,228.9894,220.6229,228.8938,608199
2016-12-05,229.0083,233.8081,228.981,233.6476,564019
2016-12-06,233.6947,237.2783,233.6423,237.2501,400431
2016-12-07,237.3231,237.4752,233.7763,233.791,454296
2016-12-08,233.8715,237.6667,233.6764,237.5056,977368
2016-12-09,237.5764,237.6474,236.436,236.973,872947
2016-12-12,237.0748,242.0858,236.9121,241.8119,682962
2016-12-13,241.7767,253.4534,241.7525,253.4228,628050
2016-12-14,253.4185,256.6682,253.2762,256.517,613261
2016-12-15,256.6259,256.8974,256.6213,256.6971,602608
2016-12-16,256.5645,256.6337,254.7689,254.8098,722405
2016-12-19,254.8123,254.8348,248.6033,248.6714,708840
2016-12-20,248.769,249.0094,248.1828,248.2559,790205
2016-12-21,248.4526,252.3778,248.3553,252.3369,541815
2016-12-22,252.2501,252.4025,250.8956,250.976,533705
2016-12-23,250.848,250.859,250.0026,250.0789,663905
2016-12-26,250.0813,251.8823,249.9197,251.5736,597090
2016-12-27,251.5605,257.6879,251.4365,257.5691,855059
2016-12-28,257.6182,257.6695,250.5278,250.6255,488129
2016-12-29,250.5865,252.1672,250.5383,252.1598,512051
2016-12-30,252.1405,252.7724,251.9927,252.6647,499075
2017-01-02,252.6077,252.7141,248.8387,249.2088,590847
2017-01-03,249.3763,250.8649,249.3753,250.7568,640674
2017-01-04,250.7819,250.9952,248.718,248.8764,699799
2017-01-05,248.935,252.3654,248.9317,252.2448,532038
2017-01-06,252.0685,255.2734,251.8482,255.2178,694265
2017-01-09,255.147,255.193,254.4569,254.4625,560503
2017-01-10,254.4133,255.653,254.3074,255.4714,781467
2017-01-11,255.411,255.7584,255.1944,255.608,448786
2017-01-12,255.596,257.8377,255.4829,257.6943,541550
2017-01-13,257.6675,257.8438,256.2902,256.347,724766
2017-01-16,256.333,258.9838,256.2041,258.7875,583357
2017-01-17,258.8487,262.8455,258.8071,262.7863,903916
