Date,Open,High,Low,Close,Volume
2016-07-01,126.9656,127.2417,125.9365,126.9656,1859245
2016-07-04,127.4692,129.1596,125.0155,127.1423,2921323
2016-07-05,127.7102,129.3158,127.6197,128.5502,2365898
2016-07-06,127.9641,128.1609,126.0323,126.2984,3383485
2016-07-07,125.6268,128.6898,124.5911,128.377,2572816
2016-07-08,128.6331,130.7134,128.4624,130.6443,2663588
2016-07-11,130.551,130.6708,130.0933,130.1342,2771568
2016-07-12,130.4799,131.7494,129.4013,130.1002,2595189
2016-07-13,130.1053,130.6705,128.911,128.9477,1951414
2016-07-14,128.9261,130.5663,127.1146,127.5879,3702159
2016-07-15,127.209,129.0144,126.4232,128.3134,2902804
2016-07-18,127.9153,128.3391,124.7093,126.4436,2263621
2016-07-19,126.0344,128.7153,125.7702,127.2768,2406125
2016-07-20,126.9481,130.2419,126.6735,128.1527,2802316
2016-07-21,129.035,130.6645,126.6692,127.1191,1951941
2016-07-22,127.233,128.115,126.9053,127.6315,2551179
2016-07-25,127.6031,131.3073,126.5887,131.1299,3006416
2016-07-26,130.9259,130.9819,130.3993,130.579,2143934
2016-07-27,129.3916,131.235,129.3586,130.0818,2479174
2016-07-28,130.4564,132.0719,130.1613,131.9613,2817094
2016-07-29,132.7694,132.9486,127.954,130.7787,2693520
2016-08-01,131.1547,131.3439,126.694,127.5745,2228805
2016-08-02,127.4398,128.3726,125.1835,127.1318,3265489
2016-08-03,126.2096,131.872,126.0748,131.6567,2734054
2016-08-04,131.3217,132.3398,127.1913,129.6659,3106941
2016-08-05,129.4021,130.7099,127.3238,128.179,2828375
2016-08-08,127.4913,129.9815,125.1591,127.1522,3347150
2016-08-09,126.1344,128.6668,125.1074,127.6004,2956693
2016-08-10,128.4344,128.4772,123.9222,124.8002,2885112
2016-08-11,125.5583,126.1403,122.5511,122.9089,2984976
2016-08-12,122.449,123.192,121.1114,121.4898,2598988
2016-08-15,121.4695,122.1137,118.2748,118.8066,2944533
2016-08-16,119.1017,119.8848,114.5775,115.6295,2413750
2016-08-17,115.0866,117.3638,115.0207,115.6081,3012814
2016-08-18,115.0046,115.6939,113.3646,113.7426,3477005
2016-08-19,114.0397,114.8114,110.1391,111.4532,3335492
2016-08-22,111.9432,112.3692,107.338,107.7028,1963077
2016-08-23,107.4501,112.7984,106.2508,112.1079,2291711
2016-08-24,112.1165,113.6919,111.5705,112.6001,2068484
2016-08-25,112.3629,112.5952,108.5184,109.9363,2686513
2016-08-26,109.9382,111.242,109.9129,110.9296,2542552
2016-08-29,110.5988,112.9736,109.2517,111.6977,1968648
2016-08-30,111.6175,113.1914,111.3816,113.1871,2193704
2016-08-31,113.0497,114.112,110.8771,111.3374,2940904
2016-09-01,112.1355,114.1092,111.6875,113.3866,2055558
2016-09-02,113.2906,113.386,111.9319,112.9152,2186162
2016-09-05,114.1763,114.6931,108.9845,110.9482,3001217
2016-09-06,111.5913,112.4647,106.5156,106.6725,3237765
2016-09-07,106.6647,107.4168,105.2229,107.2909,3215098
2016-09-08,107.3348,107.6579,105.1631,107.1827,2802198
2016-09-09,107.6816,111.5355,107.3754,111.295,4004254
2016-09-12,110.7475,111.894,108.1573,109.0105,2721237
2016-09-13,109.0062,110.0452,107.8713,108.459,3277362
2016-09-14,108.1293,108.4138,106.6008,107.7505,2523631
2016-09-15,108.699,109.4729,107.2843,108.1315,3645767
2016-09-16,108.6616,110.7532,107.3204,109.642,2432049
2016-09-19,109.5783,110.2766,109.0618,109.7292,2244386
2016-09-20,108.766,115.2984,108.2475,113.041,2241999
2016-09-21,113.5077,114.4264,108.6233,108.8377,3455531
2016-09-22,109.2734,109.4481,106.0162,106.436,2489635
2016-09-23,106.4404,107.4905,104.3265,104.9173,3384271
2016-09-26,105.3686,110.0834,105.1893,109.7025,2365784
2016-09-27,110.1025,112.2646,108.4566,110.8443,2259929
2016-09-28,110.9439,114.9969,110.7417,114.1665,2848293
2016-09-29,115.2456,116.1344,112.1794,112.3997,2909732
2016-09-30,112.322,112.9087,111.4069,112.6578,2896260
2016-10-03,112.7628,114.1198,111.9282,113.2857,2613049
2016-10-04,112.5265,115.2635,111.7396,113.5391,2693759
2016-10-05,113.6188,117.1595,112.9725,116.6081,3420034
2016-10-06,116.6956,117.4085,113.3317,114.319,2719844
2016-10-07,114.5874,117.0794,114.1491,116.9369,3140037
2016-10-10,116.9623,117.0623,116.2162,116.8549,2487175
2016-10-11,116.6317,117.3644,115.9804,116.047,2882898
2016-10-12,115.2181,120.3365,114.9849,119.296,2719909
2016-10-13,119.3846,119.8793,114.7635,115.0903,2549848
2016-10-14,114.7104,115.6324,113.8486,114.1826,2261800
2016-10-17,113.606,114.5718,113.4477,114.1936,1880508
2016-10-18,113.8943,116.0013,113.4615,114.9191,2964190
2016-10-19,115.0117,124.482,112.8005,124.2438,1710169
2016-10-20,124.6333,128.8444,124.0514,128.5041,3403687
2016-10-21,129.6071,130.9414,127.4422,128.3112,2262064
2016-10-24,128.3001,129.9263,126.8198,129.4417,2480882
2016-10-25,129.8952,130.9199,128.6914,130.6595,2024110
2016-10-26,131.0082,132.8259,130.4453,132.2411,2978173
2016-10-27,131.6207,135.862,131.177,135.2412,2465324
2016-10-28,134.6174,140.0123,133.8225,139.8902,3768455
2016-10-31,140.3607,140.4358,136.7867,136.9876,3566862
2016-11-01,137.7522,143.7104,137.1913,141.9357,3250357
2016-11-02,142.9202,143.969,142.631,143.7315,2172996
2016-11-03,143.4663,148.7962,142.2985,147.6377,2519886
2016-11-04,147.9084,150.1812,145.4869,149.1055,3106681
2016-11-07,148.6915,153.3354,147.2757,151.838,2004530
2016-11-08,152.0019,152.9448,148.8934,151.5962,2644974
2016-11-09,151.0357,151.3288,148.0557,148.2019,2544996
2016-11-10,147.1901,153.2849,146.3277,153.2302,3260348
2016-11-11,153.0508,160.3794,152.783,159.3277,3103625
2016-11-14,158.306,159.8762,157.5096,158.1987,2783134
2016-11-15,158.5282,159.4193,157.5633,159.2659,2528332
2016-11-16,158.51,159.1436,158.0373,158.854,2589841
2016-11-17,158.2104,163.3242,155.8525,161.9806,2500938
2016-11-18,161.6799,167.3866,160.1485,166.6794,3189900
2016-11-21,168.3565,175.504,167.3624,174.9523,3120374
2016-11-22,175.0449,176.1262,173.8612,175.7972,4564703
2016-11-23,175.8683,181.6896,175.4713,180.311,2481600
2016-11-24,180.3661,182.9042,179.4948,180.8053,2852978
2016-11-25,179.2064,180.2364,178.1743,178.9119,3339025
2016-11-28,179.5495,181.1968,173.1914,173.4031,1810500
2016-11-29,173.5643,174.5987,171.4624,173.195,2010408
